M=MODULE	module_enabled	module_name
S=SUBJECT	subject_enabled	subject_name	subject_description
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key

M	1	Theory of Computation
S	1	TOC - 2	NFA, Conversion of NFA to DFA, Moore and Mealey machines
Q	1	Consider the following NFA\r\n[object]TOC Topic Test 2/Q4-question.jpg[/object:295:128:]\r\nWhich of the following sets of states of NFA is not a state of DFA?		S	1		0	0	0	0
A	1	{B,C}	Construct the transition table of DFA for the given NFA. \r\n[object]TOC Topic Test 2/Q4-exp.png[/object:200:130:]\r\nFrom the above transition table, it is clear that state {B, C} is not a state in DFA.	1		
A	1	ϕ		0		
A	1	{B}		0		
A	1	{A,B}		0		
Q	1	Consider the following NFA over Σ={0,1}.\r\n[object]TOC Topic Test 2/Q1-question.png[/object:385:203:]\r\nThe language accepted by the NFA is:		S	1		0	0	0	0
A	1	It accepts set of all strings that contain two 0’s separated by a substring whose length is a multiple of 3.	Given ∑ = {0,1}. The strings accepted by the above NFA are:\r\n[object]TOC Topic Test 2/Q1-exp1.png[/object:432:32:]\r\nThe given NFA accepts set of all strings over {0, 1}, where each string contain two 0’s separated by a substring whose length is a multiple of 3.	1		
A	1	It accepts all strings that contain at least two 0’s.		0		
A	1	It accepts all strings that contain two 0’s separated by three 0’s or 1’s.		0		
A	1	It accepts set of all strings that contain at least two 0’s and recursively end with a 0.		0		
Q	1	Consider the following NFA. \r\n[object]TOC Topic Test 2/Q10-question.png[/object:435:172:]\r\nWhich of the following sets of states of NFA becomes a state of the DFA constructed using the subset construction?		S	2		0	0	0	0
A	1	{q[sub]2[/sub],q[sub]3[/sub]}	To convert the given NFA to DFA using subset construction, we find the transition table of DFA as follows: \r\n[object]TOC Topic Test 2/Q10-exp.png[/object:295:170:]\r\nFrom the above transition table, we can see that {q[sub]2[/sub],q[sub]3[/sub]} is one of the states in the corresponding DFA.	1		
A	1	{q[sub]0[/sub],q[sub]1[/sub],q[sub]2[/sub]}		0		
A	1	ϕ		0		
A	1	{q[sub]0[/sub],q[sub]1[/sub],q[sub]2[/sub],q[sub]3[/sub]}		0		
Q	1	Consider the following state transition table of a Mealy machine over the input alphabet,Σ = {0,1}, and output alphabet ∆ = {0,1}.\r\nM = ({A, B, C, D, E}, Σ, ∆, δ, λ, A)\r\n\r\n[object]TOC Topic Test 2/Q11-question.png[/object:231:127:]\r\nFind the number of states in the Moore machine equivalent to the above Mealy machine.		S	2		0	0	0	0
A	1	8	[object]TOC Topic Test 2/Q11-exp.png[/object:501:249:]\r\n∴ 8 states in Moore machine.	1		
A	1	5		0		
A	1	6		0		
A	1	7		0		
Q	1	Consider the Mealy machine given below. Σ = {a,b}  and ∆ = {0,1}. Find the output generated by the machine if the input string is bbaaba.\r\n[object]TOC Topic Test 2/Q3-question1.png[/object:325:149:]		S	1		0	0	0	0
A	1	000100	Σ = {a,b}, ∆ = {0,1}\r\nInput string w = bbaaba\r\n[object]TOC Topic Test 2/Q3-exp.png[/object:534:56:]\r\n∴ λ(bbaaba) = 000100	1		
A	1	001000		0		
A	1	000110		0		
A	1	001100		0		
Q	1	Consider the Moore machine given below:\r\n[object]TOC Topic Test 2/Q13-question.png[/object:279:121:]\r\nM = ⟨{A,B,C}, {a,b}, {0,1}, λ, δ, A⟩\r\nIdentify the correct statement about M.		S	2		0	0	0	0
A	1	It counts the number of occurrences of two consecutive a’s in the given input string.	If w = b, λ(b) = 00\r\nIf w = ba, λ(ba) = 000\r\nIf w = aa, λ(aa) = 001 ⟹ One occurence of two consecutive a's.\r\n\r\nIf w = aaa,[object]TOC Topic Test 2/Q13-exp1.png[/object:40:23:] =0011⟹Two occurences of two consecutive a's.\r\n\r\nIf w = aabaaaa, [object]TOC Topic Test 2/Q13-exp2.png[/object:75:23:] = 00100111 ⟹ 4 occurrences of two consecutive a’s.\r\n\r\nIt counts the number of occurrences of two consecutive a’s in the given input string.	1		
A	1	It counts the number of occurrences of a’s in the given input string.		0		
A	1	It counts the number of occurrences of substring baa in the given input string.		0		
A	1	It counts the number of occurrences of ba followed by an ‘a’ in the given input string.		0		
Q	1	Consider the state transition table of a Moore machine \r\nM = (Q,Σ,∆,λ,δ,q[sub]0[/sub])  \r\nwhere Q = {A,B}, Σ = {a,b}, ∆ = {0,1}, λ:Q→∆, δ:Q×Σ→Q and q[sub]0[/sub]={A}.\r\n[object]TOC Topic Test 2/Q2-question.png[/object:190:71:]\r\nThe output generated by the machine if the input string is aabbaa, λ(aabbaa)=__________.		S	1		0	0	0	0
A	1	0001000	The transition diagram for the given state transition table is\r\n[object]TOC Topic Test 2/Q2-exp1.png[/object:186:112:]\r\nInput string w = aabbaa\r\n[object]TOC Topic Test 2/Q2-exp2.png[/object:241:70:]\r\n∴ λ(aabbaa)=0001000	1		
A	1	000100		0		
A	1	001000		0		
A	1	0001100		0		
Q	1	Consider the ϵ-NFA given below and over Σ = {0,1}.\r\n[object]Q6-question.png[/object:229:196:]\r\nThe minimal DFA for the ϵ-NFA is		S	2		0	0	0	0
A	1	[object]TOC Topic Test 2/Q6-ans4.jpg[/object:187:255:]	Σ={a,b}\r\n[object]TOC Topic Test 2/Q6-exp.jpg[/object:221:178:]\r\nConstructing transition table for NFA:\r\n[object]TOC Topic Test 2/Q6-exp2.jpg[/object:333:298:]\r\nThe transition table for NFA is:\r\n[object]TOC Topic Test 2/Q6-exp3.jpg[/object:156:78:]\r\n∴ The NFA is\r\n[object]TOC Topic Test 2/Q6-exp4.jpg[/object:323:138:]\r\nThe final states are ϵ-closure ({1} )={1,2}\r\nDFA:\r\n[object]TOC Topic Test 2/Q6-exp5.jpg[/object:201:126:]\r\nStates 1 & {1, 2} are equivalent.\r\n∴We merge them.\r\n[object]TOC Topic Test 2/Q6-exp6.jpg[/object:195:109:]\r\nThe corresponding Minimal DFA:\r\n[object]TOC Topic Test 2/Q6-exp7.jpg[/object:203:275:]	1		
A	1	[object]TOC Topic Test 2/Q6-ans1.jpg[/object:228:228:]		0		
A	1	[object]TOC Topic Test 2/Q6-ans2.jpg[/object:179:231:]		0		
A	1	[object]TOC Topic Test 2/Q6-ans3.jpg[/object:224:238:]		0		
Q	1	Convert the following Moore machine into its equivalent Mealy machine. Given Σ = {0,1}, ∆ = {0,1,2}\r\n[object]TOC Topic Test 2/Q8-question.png[/object:287:249:]		S	2		0	0	0	0
A	1	[object]TOC Topic Test 2/Q8-option3.png[/object:214:184:]	The state transition table for \r\n[object]TOC Topic Test 2/Q8-exp1.png[/object:501:165:]\r\n∴ The Mealy machine constructed from its state transition table is\r\n[object]TOC Topic Test 2/Q8-exp2.png[/object:257:215:]	1		
A	1	[object]TOC Topic Test 2/Q8-option1.png[/object:205:184:]		0		
A	1	[object]TOC Topic Test 2/Q8-option2.png[/object:211:184:]		0		
A	1	[object]TOC Topic Test 2/Q8-option4.png[/object:209:181:]		0		
Q	1	Given below is the Moore machine with missing output symbols associated with the states and some missing transitions. If the Moore machine M prints the residue modulo 3 as output for a given input string which when interpreted as integer, find the missing output symbols and missing transitions.\r\nM=({A,B,C}, Σ = {0,1,2}, ∆ = {0,1,2}, λ, δ, A)\r\nwhere Σ is a set of ternary numbers (base 3) and λ∶Q→∆, δ∶Q×Σ→Q\r\n[object]TOC Topic Test 2/Q7-question1.png[/object:282:105:]\r\nThe corresponding state transition table is\r\n[object]TOC Topic Test 2/Q7-question2.png[/object:228:89:]		S	2		0	0	0	0
A	1	δ(A,2)=C; λ(A)=0\r\nδ(B,0)=A; λ(B)=1\r\nδ(C,0)=A; λ(C)=2	The Moore machine taking the ternary numbers as input and prints the residue modulo 3 as output is\r\n[object]Q7-exp.png[/object:281:147:]\r\nThe output associated with each state is the residue modulo 3 for the input string seen so far.	1		
A	1	δ(A,2)=C; λ(A)=1\r\nδ(B,0)=A; λ(B)=2\r\nδ(C,0)=B; λ(C)=0		0		
A	1	δ(A,2)=B; λ(A)=0\r\nδ(B,0)=C; λ(B)=2\r\nδ(C,0)=A; λ(C)=1		0		
A	1	δ(A,2)=B; λ(A)=1\r\nδ(B,0)=A; λ(B)=0\r\nδ(C,0)=C; λ(C)=2		0		
Q	1	The language accepted by the following NFA over Σ={0,1}.\r\n[object]TOC Topic Test 2/Q12-question.png[/object:332:179:]		S	2		0	0	0	0
A	1	L={w∈Σ*  | w contains at least two 0's or exactly two 1's}	Σ = {0,1}\r\nThe NFA accepts strings containing at least two 0’s or exactly two 1’s. \r\nL = {00,000,11,011,01010,…}\r\nIf a string in the language does not contain at least two 0’s then it will definitely contain exactly two 1’s. If the string in the language does not contain exactly two 1’s, then it will definitely contain at least two 0’s. The strings may contain at least two 0’s and exactly two 1’s.	1		
A	1	L={w∈Σ*  | w contains two 0's or two 1's}		0		
A	1	L={w∈Σ*  | w contains at least two 0's and at least two 1's}		0		
A	1	L={w∈Σ* | w contains exactly two 0's exactly two 1's}		0		
Q	1	The number of states in the minimal DFA of the following NFA is\r\n[object]TOC Topic Test 2/Q5-question.png[/object:279:117:]		S	1		0	0	0	0
A	1	3	The minimal finite automate for the above NFA is \r\n[object]TOC Topic Test 2/Q5-exp.png[/object:302:182:]	1		
A	1	1		0		
A	1	2		0		
A	1	4		0		
Q	1	Which of the following strings is/are accepted by the NFA below?\r\n[object]TOC Topic Test 2/Q9-question.png[/object:295:128:]\r\n[olist]\r\n[li]010110[/li]\r\n[li]0010010[/li]\r\n[li]0110110[/li]\r\n[li]1010110[/li]\r\n[/olist]		S	2		0	0	0	0
A	1	Only 1, 2 and 4 are accepted	[olist]\r\n[li]The sequence of states visited for accepting the string 010110 is\r\n[object]TOC Topic Test 2/Q9-exp1.png[/object:243:43:]\r\nIt is accepted.[/li]\r\n[li]The sequence of states visited for accepting the string 0010010 is\r\n[object]TOC Topic Test 2/Q9-exp2.png[/object:272:41:]\r\nIt is accepted.[/li]\r\n[li]The sequence of states visited for accepting the string 0110110 is\r\n[object]TOC Topic Test 2/Q9-exp3.png[/object:129:43:]\r\nIt cannot be accepted.[/li]\r\n[li]The sequence of states visited for accepting the string 1010110 is\r\n[object]TOC Topic Test 2/Q9-exp4.png[/object:271:46:]\r\nIt is accepted.[/li]\r\n[/olist]\r\n∴ 1, 2 & 4 are accepted.	1		
A	1	Only 1 and 2 are accepted		0		
A	1	Only 2, 3 and 4 are accepted		0		
A	1	All are accepted		0		
